#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_guest,cpu,cpu-total,phoenix
,,0,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_guest,cpu,cpu-total,phoenix
,,0,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_guest,cpu,cpu-total,phoenix
,,0,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_guest,cpu,cpu-total,phoenix
,,0,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_guest,cpu,cpu-total,phoenix
,,0,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_guest,cpu,cpu-total,phoenix
,,1,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_guest_nice,cpu,cpu-total,phoenix
,,1,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_guest_nice,cpu,cpu-total,phoenix
,,1,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_guest_nice,cpu,cpu-total,phoenix
,,1,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_guest_nice,cpu,cpu-total,phoenix
,,1,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_guest_nice,cpu,cpu-total,phoenix
,,1,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_guest_nice,cpu,cpu-total,phoenix
,,2,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,88.40196448809431,usage_idle,cpu,cpu-total,phoenix
,,2,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,89.8928796471267,usage_idle,cpu,cpu-total,phoenix
,,2,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,89.45918878317757,usage_idle,cpu,cpu-total,phoenix
,,2,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,88.22716421661546,usage_idle,cpu,cpu-total,phoenix
,,2,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,89.74551836529128,usage_idle,cpu,cpu-total,phoenix
,,2,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,84.30804134106675,usage_idle,cpu,cpu-total,phoenix
,,3,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0.16370734164458622,usage_iowait,cpu,cpu-total,phoenix
,,3,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0.1764335223692524,usage_iowait,cpu,cpu-total,phoenix
,,3,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0.15022533800700746,usage_iowait,cpu,cpu-total,phoenix
,,3,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0.23872345772082681,usage_iowait,cpu,cpu-total,phoenix
,,3,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0.13789645230037362,usage_iowait,cpu,cpu-total,phoenix
,,3,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0.12603982858583151,usage_iowait,cpu,cpu-total,phoenix
,,4,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_irq,cpu,cpu-total,phoenix
,,4,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_irq,cpu,cpu-total,phoenix
,,4,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0,usage_irq,cpu,cpu-total,phoenix
,,4,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0,usage_irq,cpu,cpu-total,phoenix
,,4,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0,usage_irq,cpu,cpu-total,phoenix
,,4,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0,usage_irq,cpu,cpu-total,phoenix
,,5,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,1.1585442639463273,usage_nice,cpu,cpu-total,phoenix
,,5,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,1.2224322621299557,usage_nice,cpu,cpu-total,phoenix
,,5,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,1.1892839258887498,usage_nice,cpu,cpu-total,phoenix
,,5,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,1.2438748586506503,usage_nice,cpu,cpu-total,phoenix
,,5,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,1.3664284818853552,usage_nice,cpu,cpu-total,phoenix
,,5,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,1.273002268716959,usage_nice,cpu,cpu-total,phoenix
,,6,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0.03777861730259957,usage_softirq,cpu,cpu-total,phoenix
,,6,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0.012602394454936364,usage_softirq,cpu,cpu-total,phoenix
,,6,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:20Z,0.012518778167256552,usage_softirq,cpu,cpu-total,phoenix
,,6,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:30Z,0.012564392511611186,usage_softirq,cpu,cpu-total,phoenix
,,6,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:40Z,0.050144164472864745,usage_softirq,cpu,cpu-total,phoenix
,,6,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:50Z,0.05041593143434335,usage_softirq,cpu,cpu-total,phoenix
,,7,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:00Z,0,usage_steal,cpu,cpu-total,phoenix
,,7,2022-04-29T17:42:51.277036271Z,2022-04-29T17:43:51.277036271Z,2022-04-29T17:43:10Z,0,usage_steal,cpu,cpu-total,phoenix
